汉字,漢越語,IPA,聲調,拼音,攝別,四聲,韻目,字母,開合,等第,清濁,上字,下字,,,,,,,,,,,
湩,Chúng,tʂuŋ5,銳聲,dòng,通,去,送,端,合,一,全清,多,貢,,,,,,,,,,,
湫,Tưu,tɯw1,平聲,jiū,流,平,尤,精,開,三,全清,即,由,,,,,,,,,,,
湫,Tiểu,tiew3,問聲,jiǎo,效,上,篠,精,開,四,全清,子,了,,,,,,,,,,,
湮,Yên,ien1,平聲,yīn,山,平,先,影,開,四,全清,烏,前,,,,,,,,,,,
湯,Sương,ʂɯɤŋ1,平聲,shāng,宕,平,陽,書,開,三,全清,式,羊,,,,,,,,,,,
湯,Thang,t'a:ŋ1,平聲,tāng,宕,平,唐,透,開,一,次清,吐,郎,,,,,,,,,,,
湯,Thãng,t'a:ŋ4,跌聲,tàng,宕,去,宕,透,開,一,次清,他,浪,,,,,,,,,,,
湲,Viên,vien1,平聲,yuán,山,平,仙,云,合,三,次濁,王,權,,,,,,,,,,,
溉,Cái,ka:j5,銳聲,gài,蟹,去,代,見,開,一,全清,古,代,,,,,,,,,,,
溲,Sưu,ʂɯw1,平聲,sōu,流,平,尤,生,開,三,全清,所,鳩,,,,,,,,,,,
溲,Sửu,ʂɯw3,問聲,sǒu,流,上,有,生,開,三,全清,踈,有,,,,,,,,,,,
滁,Trừ,tʂɯ2,弦聲,chú,遇,平,魚,澄,開,三,全濁,直,魚,,,,,,,,,,,
滋,Tư,tɯ1,平聲,zī,止,平,之,精,開,三,全清,子,之,,,,,,,,,,,
滑,Cốt,kot7,銳入,gǔ,臻,入,沒,見,合,一,全清,古,忽,,,,,,,,,,,
滑,Hoạt,hwa:t8,重入,huá,山,入,黠,匣,合,二,全濁,戶,八,,,,,,,,,,,
焚,Phần,fɤn2,弦聲,fén,臻,平,文,奉,合,三,全濁,符,分,,,,,,,,,,,
焜,Hỗn,hon4,跌聲,kūn,臻,上,混,匣,合,一,全濁,胡,本,,,,,,,,,,,
焠,Thối,t'oj5,銳聲,cuì,蟹,去,隊,清,合,一,次清,七,內,,,,,,,,,,,
無,Vô,vo1,平聲,wú,遇,平,虞,微,合,三,次濁,武,夫,,,,,,,,,,,
焦,Tiêu,tiew1,平聲,jiāo,效,平,宵,精,開,三,全清,即,消,,,,,,,,,,,
焮,Hân,hɤn1,平聲,xìn,臻,去,焮,曉,開,三,次清,香,靳,,,,,,,,,,,
焰,Diệm,ziem6,重聲,yàn,咸,去,豔,以,開,三,次濁,以,贍,,,,,,,,,,,
焱,Diễm,ziem4,跌聲,yàn,咸,去,豔,以,開,三,次濁,以,贍,,,,,,,,,,,
然,Nhiên,ɲien1,平聲,rán,山,平,仙,日,開,三,次濁,如,延,,,,,,,,,,,
煮,Chử,tʂɯ3,問聲,zhǔ,遇,上,語,章,開,三,全清,章,与,,,,,,,,,,,
為,Vi,vi1,平聲,wéi,止,平,支,云,開,三,次濁,薳,支,,,,,,,,,,,
為,Vị,vi6,重聲,wèi,止,去,寘,云,合,三,次濁,于,偽,,,,,,,,,,,
爺,Gia,ʑa:1,平聲,yé,假,平,麻,以,開,三,次濁,以,遮,,,,,,,,,,,
牋,Tiên,tien1,平聲,jiān,山,平,先,精,開,四,全清,則,前,,,,,,,,,,,
牌,Bài,ba:j2,弦聲,pái,蟹,平,佳,並,開,二,全濁,薄,佳,,,,,,,,,,,
牚,Xanh,sa:ɲ1,平聲,chēng,梗,去,映,徹,開,二,次清,他,孟,,,,,,,,,,,
犀,Tê,te1,平聲,xī,蟹,平,齊,心,開,四,全清,先,稽,,,,,,,,,,,
犂,Lê,le1,平聲,lí,蟹,平,齊,來,開,四,次濁,郎,奚,,,,,,,,,,,
犇,Bôn,bon1,平聲,bēn,臻,平,魂,幫,合,一,全清,博,昆,,,,,,,,,,,
犍,Kiền,kien2,弦聲,jiān,山,平,仙,羣,開,三,全濁,渠,焉,,,,,,,,,,,
猢,Hồ,ho2,弦聲,hú,遇,平,模,匣,合,一,全濁,戶,吳,,,,,,,,,,,
猥,Ổi,oj3,問聲,wěi,蟹,上,賄,影,合,一,全清,烏,賄,,,,,,,,,,,
猩,Tinh,tiɲ1,平聲,xīng,梗,平,青,心,開,四,全清,桑,經,,,,,,,,,,,
猱,Nhu,ɲu1,平聲,náo,效,平,豪,泥,開,一,次濁,奴,刀,,,,,,,,,,,
猴,Hầu,hɤw2,弦聲,hóu,流,平,侯,匣,開,一,全濁,戶,鉤,,,,,,,,,,,
猶,Do,zɔ1,平聲,yóu,流,平,尤,以,開,三,次濁,以,周,,,,,,,,,,,
猶,Dứu,zɯw5,銳聲,yóu,流,去,宥,以,開,三,次濁,余,救,,,,,,,,,,,
猾,Hoạt,hwa:t8,重入,huá,山,入,黠,匣,合,二,全濁,戶,八,,,,,,,,,,,
獀,Sưu,ʂɯw1,平聲,sōu,流,平,尤,生,開,三,全清,所,鳩,,,,,,,,,,,
珷,Vũ,vu4,跌聲,wǔ,遇,上,麌,微,合,三,次濁,文,甫,,,,,,,,,,,
琖,Trản,tʂa:n3,問聲,zhǎn,山,上,產,莊,開,二,全清,阻,限,,,,,,,,,,,
琚,Cư,kɯ1,平聲,jū,遇,平,魚,見,開,三,全清,九,魚,,,,,,,,,,,
琛,Sâm,ʂɤm1,平聲,chēn,深,平,侵,徹,開,三,次清,丑,林,,,,,,,,,,,
琢,Trác,tʂa:k7,銳入,zhuó,江,入,覺,知,開,二,全清,竹,角,,,,,,,,,,,
琤,Tranh,tʂa:ɲ1,平聲,chēng,梗,平,庚,初,開,二,次清,楚,庚,,,,,,,,,,,
琥,Hổ,ho3,問聲,hǔ,遇,上,姥,曉,合,一,次清,呼,古,,,,,,,,,,,
琦,Kì,ki2,弦聲,qí,止,平,支,羣,開,三,全濁,渠,羈,,,,,,,,,,,
琨,Côn,kon1,平聲,kūn,臻,平,魂,見,合,一,全清,古,渾,,,,,,,,,,,
琪,Kì,ki2,弦聲,qí,止,平,之,羣,開,三,全濁,渠,之,,,,,,,,,,,
琫,Bổng,boŋ3,問聲,běng,通,上,董,幫,合,一,全清,邊,孔,,,,,,,,,,,
琬,Uyển,wien3,問聲,wǎn,山,上,阮,影,合,三,全清,於,阮,,,,,,,,,,,
琮,Tông,toŋ1,平聲,cóng,通,平,冬,從,合,一,全濁,藏,宗,,,,,,,,,,,
琯,Quản,kwa:n3,問聲,guǎn,山,上,緩,見,合,一,全清,古,滿,,,,,,,,,,,
琰,Diễm,ziem4,跌聲,yǎn,咸,上,琰,以,開,三,次濁,以,冉,,,,,,,,,,,
琲,Bội,boj6,重聲,bèi,蟹,上,賄,並,合,一,全濁,蒲,罪,,,,,,,,,,,
琳,Lâm,lɤm1,平聲,lín,深,平,侵,來,開,三,次濁,力,尋,,,,,,,,,,,
琴,Cầm,kɤm2,弦聲,qín,深,平,侵,羣,開,三,全濁,巨,金,,,,,,,,,,,
琵,Tì,ti2,弦聲,pí,止,平,脂,並,開,三,全濁,房,脂,,,,,,,,,,,
琶,Bà,ba:2,弦聲,pá,假,平,麻,並,開,二,全濁,蒲,巴,,,,,,,,,,,
瑛,Anh,a:ɲ1,平聲,yīng,梗,平,庚,影,開,三,全清,於,驚,,,,,,,,,,,
瑯,Lang,la:ŋ1,平聲,láng,宕,平,唐,來,開,一,次濁,魯,當,,,,,,,,,,,
瓿,Phẫu,fɤw4,跌聲,pǒu,流,上,厚,並,開,一,全濁,蒲,口,,,,,,,,,,,
甥,Sanh,ʂa:ɲ1,平聲,shēng,梗,平,庚,生,開,二,全清,所,庚,,,,,,,,,,,
甯,Nịnh,niɲ6,重聲,nìng,梗,去,徑,泥,開,四,次濁,乃,定,,,,,,,,,,,
番,Phiên,fien1,平聲,fān,山,平,元,敷,合,三,次清,孚,袁,,,,,,,,,,,
番,Phan,fa:n1,平聲,pān,山,平,桓,滂,合,一,次清,普,官,,,,,,,,,,,
畫,Họa,hwa:6,重聲,huà,蟹,去,卦,匣,合,二,全濁,胡,卦,,,,,,,,,,,
畫,Hoạch,hwa:ʧ8,重入,huà,梗,入,麥,匣,合,二,全濁,胡,麥,,,,,,,,,,,
畬,Dư,zɯ1,平聲,yú,遇,平,魚,以,開,三,次濁,以,諸,,,,,,,,,,,
畮,Mẫu,mɤw4,跌聲,mǔ,流,上,厚,明,開,一,次濁,莫,厚,,,,,,,,,,,
畯,Tuấn,twɤn5,銳聲,jùn,臻,去,稕,精,合,三,全清,子,峻,,,,,,,,,,,
疏,Sơ,ʂɤ:1,平聲,shū,遇,平,魚,生,開,三,全清,所,葅,,,,,,,,,,,
疏,Sớ,ʂɤ:5,銳聲,shù,遇,去,御,生,開,三,全清,所,去,,,,,,,,,,,
痗,Mội,moj6,重聲,mèi,蟹,去,隊,明,合,一,次濁,莫,佩,,,,,,,,,,,
痙,Kinh,kiɲ1,平聲,jìng,梗,上,靜,羣,開,三,全濁,巨,郢,,,,,,,,,,,
痛,Thống,t'oŋ5,銳聲,tòng,通,去,送,透,合,一,次清,他,貢,,,,,,,,,,,
痞,Bĩ,bi4,跌聲,pǐ,止,上,旨,並,開,三,全濁,符,鄙,,,,,,,,,,,
痟,Tiêu,tiew1,平聲,xiāo,效,平,宵,心,開,三,全清,相,邀,,,,,,,,,,,
痠,Toan,twa:n1,平聲,suān,山,平,桓,心,合,一,全清,素,官,,,,,,,,,,,
痡,Phô,fo1,平聲,pū,遇,平,虞,敷,合,三,次清,芳,無,,,,,,,,,,,
痢,Lị,li6,重聲,lì,止,去,至,來,開,三,次濁,力,至,,,,,,,,,,,
痣,Chí,tʂi5,銳聲,zhì,止,去,志,章,開,三,全清,職,吏,,,,,,,,,,,
痤,Tọa,twa:6,重聲,cuó,果,平,戈,從,合,一,全濁,昨,禾,,,,,,,,,,,
痾,Kha,xa:1,平聲,kē,果,平,歌,影,開,一,全清,烏,何,,,,,,,,,,,
登,Đăng,daŋ1,平聲,dēng,曾,平,登,端,開,一,全清,都,滕,,,,,,,,,,,
發,Phát,fa:t7,銳入,fā,山,入,月,非,合,三,全清,方,伐,,,,,,,,,,,
皓,Hạo,ha:w6,重聲,hào,效,上,晧,匣,開,一,全濁,胡,老,,,,,,,,,,,
皖,Hoàn,hwa:n2,弦聲,wǎn,山,上,潸,匣,合,二,全濁,戶,板,,,,,,,,,,,
皴,Thuân,t'wɤn1,平聲,cūn,臻,平,諄,清,合,三,次清,七,倫,,,,,,,,,,,
盜,Đạo,da:w6,重聲,dào,效,去,號,定,開,一,全濁,徒,到,,,,,,,,,,,
睂,Mi,mi1,平聲,méi,止,平,脂,明,開,三,次濁,武,悲,,,,,,,,,,,
睅,Hạn,ha:n6,重聲,hàn,山,上,潸,匣,合,二,全濁,戶,板,,,,,,,,,,,
睆,Hoản,hwa:n3,問聲,huǎn,山,上,潸,匣,合,二,全濁,戶,板,,,,,,,,,,,
睇,Thê,t'e1,平聲,dì,蟹,平,齊,透,開,四,次清,土,雞,,,,,,,,,,,
睊,Quyến,kwien5,銳聲,juàn,山,去,霰,見,合,四,全清,古,縣,,,,,,,,,,,
睍,Hiển,hien3,問聲,xiàn,山,上,銑,匣,開,四,全濁,胡,典,,,,,,,,,,,
睎,Hi,hi1,平聲,xī,止,平,微,曉,開,三,次清,香,衣,,,,,,,,,,,
矞,Duật,zuɤt8,重入,yù,臻,入,術,以,合,三,次濁,餘,律,,,,,,,,,,,
矟,Sác,ʂa:k7,銳入,shuò,江,入,覺,生,開,二,全清,所,角,,,,,,,,,,,
矬,Tọa,twa:6,重聲,cuó,果,平,戈,從,合,一,全濁,昨,禾,,,,,,,,,,,
短,Đoản,dwa:n3,問聲,duǎn,山,上,緩,端,合,一,全清,都,管,,,,,,,,,,,
硜,Khanh,xa:ɲ1,平聲,kēng,梗,平,耕,溪,開,二,次清,口,莖,,,,,,,,,,,
硝,Tiêu,tiew1,平聲,xiāo,效,平,宵,心,開,三,全清,相,邀,,,,,,,,,,,
硨,Xa,sa:1,平聲,chē,假,平,麻,昌,開,三,次清,尺,遮,,,,,,,,,,,
硫,Lưu,lɯw1,平聲,liú,流,平,尤,來,開,三,次濁,力,求,,,,,,,,,,,
硬,Ngạnh,ŋa:ɲ6,重聲,yìng,梗,去,諍,疑,開,二,次濁,五,諍,,,,,,,,,,,
硯,Nghiễn,ŋien4,跌聲,yàn,山,去,霰,疑,開,四,次濁,吾,甸,,,,,,,,,,,
祺,Kì,ki2,弦聲,qí,止,平,之,羣,開,三,全濁,渠,之,,,,,,,,,,,
祼,Quán,kwa:n5,銳聲,guàn,山,去,換,見,合,一,全清,古,玩,,,,,,,,,,,
祿,Lộc,lok8,重入,lù,通,入,屋,來,合,一,次濁,盧,谷,,,,,,,,,,,
禍,Họa,hwa:6,重聲,huò,果,上,果,匣,合,一,全濁,胡,果,,,,,,,,,,,
禽,Cầm,kɤm2,弦聲,qín,深,平,侵,羣,開,三,全濁,巨,金,,,,,,,,,,,
稀,Hi,hi1,平聲,xī,止,平,微,曉,開,三,次清,香,衣,,,,,,,,,,,
稂,Lang,la:ŋ1,平聲,láng,宕,平,唐,來,開,一,次濁,魯,當,,,,,,,,,,,
稃,Phù,fu2,弦聲,fū,遇,平,虞,敷,合,三,次清,芳,無,,,,,,,,,,,
稅,Thuế,t'we5,銳聲,shuì,蟹,去,祭,書,合,三,全清,舒,芮,,,,,,,,,,,
稈,Cán,ka:n5,銳聲,gǎn,山,上,旱,見,開,一,全清,古,旱,,,,,,,,,,,
稊,Đề,de2,弦聲,tí,蟹,平,齊,定,開,四,全濁,杜,奚,,,,,,,,,,,
程,Trình,tʂiɲ2,弦聲,chéng,梗,平,清,澄,開,三,全濁,直,貞,,,,,,,,,,,
稌,Đồ,do2,弦聲,tú,遇,平,模,透,合,一,次清,他,胡,,,,,,,,,,,
稍,Sao,ʂa:w1,平聲,shāo,效,去,效,生,開,二,全清,所,教,,,,,,,,,,,
窖,Diếu,ziew5,銳聲,jiào,效,去,效,見,開,二,全清,古,孝,,,,,,,,,,,
窗,Song,ʂɔŋ1,平聲,chuāng,江,平,江,初,開,二,次清,楚,江,,,,,,,,,,,
窘,Quẫn,kwɤn4,跌聲,jiǒng,臻,上,準,羣,合,三,全濁,渠,殞,,,,,,,,,,,
竢,Sĩ,ʂi4,跌聲,sì,止,上,止,俟,開,三,全濁,牀,史,,,,,,,,,,,
竣,Thuân,t'wɤn1,平聲,jùn,臻,平,諄,清,合,三,次清,七,倫,,,,,,,,,,,
童,Đồng,doŋ2,弦聲,tóng,通,平,東,定,合,一,全濁,徒,紅,,,,,,,,,,,
竦,Tủng,tuŋ3,問聲,sǒng,通,上,腫,心,合,三,全清,息,拱,,,,,,,,,,,
筅,Tiển,tien3,問聲,xiǎn,山,上,銑,心,開,四,全清,蘇,典,,,,,,,,,,,
筆,Bút,but7,銳入,bǐ,臻,入,質,幫,開,三,全清,鄙,密,,,,,,,,,,,
等,Đẳng,daŋ3,問聲,děng,曾,上,等,端,開,一,全清,多,肯,,,,,,,,,,,
筋,Cân,kɤn1,平聲,jīn,臻,平,欣,見,開,三,全清,舉,欣,,,,,,,,,,,
筌,Thuyên,t'wien1,平聲,quán,山,平,仙,清,合,三,次清,此,緣,,,,,,,,,,,
筍,Tuẩn,twɤn3,問聲,sǔn,臻,上,準,心,合,三,全清,思,尹,,,,,,,,,,,
筏,Phiệt,fiet8,重入,fá,山,入,月,奉,合,三,全濁,房,越,,,,,,,,,,,
筐,Khuông,xuoŋ1,平聲,kuāng,宕,平,陽,溪,合,三,次清,去,王,,,,,,,,,,,
筑,Trúc,tʂuk7,銳入,zhú,通,入,屋,知,合,三,全清,張,六,,,,,,,,,,,
筒,Đồng,doŋ2,弦聲,tǒng,通,平,東,定,合,一,全濁,徒,紅,,,,,,,,,,,
筓,Kê,ke1,平聲,jī,止,平,支,禪,開,三,全濁,是,支,,,,,,,,,,,
答,Đáp,da:p7,銳入,dá,咸,入,合,端,開,一,全清,都,合,,,,,,,,,,,
策,Sách,ʂa:ʧ7,銳入,cè,梗,入,麥,初,開,二,次清,楚,革,,,,,,,,,,,
筥,Cử,kɯ3,問聲,jǔ,遇,上,語,見,開,三,全清,居,許,,,,,,,,,,,
筳,Đình,diɲ2,弦聲,tíng,梗,平,青,定,開,四,全濁,特,丁,,,,,,,,,,,
筵,Diên,zien1,平聲,yán,山,平,仙,以,開,三,次濁,以,然,,,,,,,,,,,
粞,Tê,te1,平聲,qī,蟹,平,齊,心,開,四,全清,先,稽,,,,,,,,,,,
粟,Túc,tuk7,銳入,sù,通,入,燭,心,合,三,全清,相,玉,,,,,,,,,,,
粢,Tư,tɯ1,平聲,zī,止,平,脂,精,開,三,全清,即,夷,,,,,,,,,,,
粥,Dục,zuk8,重入,yù,通,入,屋,以,合,三,次濁,余,六,,,,,,,,,,,
粥,Chúc,tʂuk7,銳入,zhōu,通,入,屋,章,合,三,全清,之,六,,,,,,,,,,,
紫,Tử,tɯ3,問聲,zǐ,止,上,紙,精,開,三,全清,將,此,,,,,,,,,,,
結,Kết,ket7,銳入,jié,山,入,屑,見,開,四,全清,古,屑,,,,,,,,,,,
絕,Tuyệt,twiet8,重入,jué,山,入,薛,從,合,三,全濁,情,雪,,,,,,,,,,,
絛,Thao,t'a:w1,平聲,tāo,效,平,豪,透,開,一,次清,土,刀,,,,,,,,,,,
絜,Khiết,xiep7,銳入,jié,山,入,屑,見,開,四,全清,古,屑,,,,,,,,,,,
絜,Hiệt,hiet8,重入,xié,山,入,屑,匣,開,四,全濁,胡,結,,,,,,,,,,,
絝,Khố,ko5,銳聲,kù,遇,去,暮,溪,合,一,次清,苦,故,,,,,,,,,,,
絞,Giảo,ʑa:w3,問聲,jiǎo,效,上,巧,見,開,二,全清,古,巧,,,,,,,,,,,
絡,Lạc,la:k8,重入,luò,宕,入,鐸,來,開,一,次濁,盧,各,,,,,,,,,,,
絢,Huyến,hwien5,銳聲,xuàn,山,去,霰,曉,合,四,次清,許,縣,,,,,,,,,,,
給,Cấp,kɤp7,銳入,jǐ,深,入,緝,見,開,三,全清,居,立,,,,,,,,,,,
絨,Nhung,ɲuŋ1,平聲,róng,通,平,東,日,合,三,次濁,如,融,,,,,,,,,,,
絪,Nhân,ɲɤn1,平聲,yīn,臻,平,真,影,開,三,全清,於,真,,,,,,,,,,,
絫,Lũy,lwi4,跌聲,lěi,止,上,紙,來,合,三,次濁,力,委,,,,,,,,,,,
絮,Nhứ,ɲɯ5,銳聲,xù,遇,去,御,娘,開,三,次濁,尼,據,,,,,,,,,,,
絰,Điệt,diet8,重入,dié,山,入,屑,定,開,四,全濁,徒,結,,,,,,,,,,,
統,Thống,t'oŋ5,銳聲,tǒng,通,去,宋,透,合,一,次清,他,綜,,,,,,,,,,,
絲,Ti,ti1,平聲,sī,止,平,之,心,開,三,全清,息,茲,,,,,,,,,,,
絳,Giáng,ʑa:ŋ5,銳聲,jiàng,江,去,絳,見,開,二,全清,古,巷,,,,,,,,,,,
缾,Bình,biɲ2,弦聲,píng,梗,平,青,並,開,四,全濁,薄,經,,,,,,,,,,,
罥,Quyến,kwien5,銳聲,juàn,山,去,霰,見,合,四,全清,古,縣,,,,,,,,,,,
罦,Phù,fu2,弦聲,fū,流,平,尤,奉,開,三,全濁,縛,謀,,,,,,,,,,,
翔,Tường,tɯɤŋ2,弦聲,xiáng,宕,平,陽,邪,開,三,全濁,似,羊,,,,,,,,,,,
翕,Hấp,hɤp7,銳入,xì,深,入,緝,曉,開,三,次清,許,及,,,,,,,,,,,
翛,Tiêu,tiew1,平聲,xiāo,效,平,蕭,心,開,四,全清,蘇,彫,,,,,,,,,,,
耋,Điệt,diet8,重入,diè,山,入,屑,定,開,四,全濁,徒,結,,,,,,,,,,,
聒,Quát,kwa:t7,銳入,guā,山,入,末,見,合,一,全清,古,活,,,,,,,,,,,
胔,Tí,ti5,銳聲,zì,止,去,寘,從,開,三,全濁,疾,智,,,,,,,,,,,
胾,Chí,tʂi5,銳聲,zì,止,去,志,莊,開,三,全清,側,吏,,,,,,,,,,,
脹,Trướng,tʂɯɤŋ5,銳聲,zhàng,宕,去,漾,知,開,三,全清,知,亮,,,,,,,,,,,
脾,Tì,ti2,弦聲,pí,止,平,支,並,開,三,全濁,符,支,,,,,,,,,,,
腆,Thiển,t'ien3,問聲,tiǎn,山,上,銑,透,開,四,次清,他,典,,,,,,,,,,,
腋,Dịch,ziʧ8,重入,yì,梗,入,昔,以,開,三,次濁,羊,益,,,,,,,,,,,
腌,Yêm,iem1,平聲,yān,咸,平,嚴,影,開,三,全清,於,嚴,,,,,,,,,,,
腎,Thận,t'ɤn6,重聲,shèn,臻,上,軫,禪,開,三,全濁,時,忍,,,,,,,,,,,
腑,Phủ,fu3,問聲,fǔ,遇,上,麌,非,合,三,全清,方,矩,,,,,,,,,,,
腓,Phì,fi2,弦聲,féi,止,平,微,奉,合,三,全濁,符,非,,,,,,,,,,,
腔,Xoang,swa:ŋ1,平聲,qiāng,江,平,江,溪,開,二,次清,苦,江,,,,,,,,,,,
腕,Oản,wa:n3,問聲,wàn,山,去,換,影,合,一,全清,烏,貫,,,,,,,,,,,
腱,Kiện,kien6,重聲,jiàn,山,去,願,羣,開,三,全濁,渠,建,,,,,,,,,,,
腴,Du,zu1,平聲,yú,遇,平,虞,以,合,三,次濁,羊,朱,,,,,,,,,,,
舄,Tích,tiʧ7,銳入,xì,梗,入,昔,心,開,三,全清,思,積,,,,,,,,,,,
舒,Thư,t'ɯ1,平聲,shū,遇,平,魚,書,開,三,全清,傷,魚,,,,,,,,,,,
舜,Thuấn,t'wɤn5,銳聲,shùn,臻,去,稕,書,合,三,全清,舒,閏,,,,,,,,,,,
艇,Đĩnh,diɲ4,跌聲,tǐng,梗,上,迥,定,開,四,全濁,徒,鼎,,,,,,,,,,,
萩,Thu,t'u1,平聲,qiū,流,平,尤,清,開,三,次清,七,由,,,,,,,,,,,
萬,Vạn,va:n6,重聲,wàn,山,去,願,微,合,三,次濁,無,販,,,,,,,,,,,
萱,Huyên,hwien1,平聲,xuān,山,平,元,曉,合,三,次清,況,袁,,,,,,,,,,,
萹,Phiên,fien1,平聲,piān,山,平,仙,滂,開,三,次清,芳,連,,,,,,,,,,,
萼,Ngạc,ŋa:k8,重入,è,宕,入,鐸,疑,開,一,次濁,五,各,,,,,,,,,,,
落,Lạc,la:k8,重入,luò,宕,入,鐸,來,開,一,次濁,盧,各,,,,,,,,,,,
葆,Bảo,ba:w3,問聲,bǎo,效,上,晧,幫,開,一,全清,博,抱,,,,,,,,,,,
葉,Diệp,ziep8,重入,yè,咸,入,葉,以,開,三,次濁,與,涉,,,,,,,,,,,
葉,Diếp,ziep7,銳入,shè,咸,入,葉,書,開,三,全清,書,涉,,,,,,,,,,,
葑,Phong,fɔŋ1,平聲,fēng,通,平,鍾,非,合,三,全清,府,容,,,,,,,,,,,
葖,Đột,dot8,重入,tú,臻,入,沒,定,合,一,全濁,陀,骨,,,,,,,,,,,
葘,Tai,ta:j1,平聲,zāi,蟹,平,咍,精,開,一,全清,祖,才,,,,,,,,,,,
葘,Truy,tʂwi1,平聲,zī,止,平,之,莊,開,三,全清,側,持,,,,,,,,,,,
葙,Tương,tɯɤŋ1,平聲,xiāng,宕,平,陽,心,開,三,全清,息,良,,,,,,,,,,,
葚,Thậm,t'ɤm6,重聲,shèn,深,上,寑,船,開,三,全濁,食,荏,,,,,,,,,,,
葛,Cát,ka:t7,銳入,gé,山,入,曷,見,開,一,全清,古,達,,,,,,,,,,,
董,Đổng,doŋ3,問聲,dǒng,通,上,董,端,合,一,全清,多,動,,,,,,,,,,,
葦,Vĩ,vi4,跌聲,wěi,止,上,尾,云,合,三,次濁,于,鬼,,,,,,,,,,,
葩,Ba,ba:1,平聲,pā,假,平,麻,滂,開,二,次清,普,巴,,,,,,,,,,,
葫,Hồ,ho2,弦聲,hú,遇,平,模,匣,合,一,全濁,戶,吳,,,,,,,,,,,
葬,Táng,ta:ŋ5,銳聲,zàng,宕,去,宕,精,開,一,全清,則,浪,,,,,,,,,,,
葭,Gia,ʑa:1,平聲,jiā,假,平,麻,見,開,二,全清,古,牙,,,,,,,,,,,
葯,Ước,ɯɤk7,銳入,yào,宕,入,藥,影,開,三,全清,於,略,,,,,,,,,,,
葱,Thông,t'oŋ1,平聲,cōng,通,平,東,清,合,一,次清,倉,紅,,,,,,,,,,,
葳,Uy,wi1,平聲,wēi,止,平,微,影,合,三,全清,於,非,,,,,,,,,,,
葵,Quỳ,kwi2,弦聲,kuí,止,平,脂,羣,合,三,全濁,渠,追,,,,,,,,,,,
葶,Đình,diɲ2,弦聲,tíng,梗,平,青,定,開,四,全濁,特,丁,,,,,,,,,,,
葷,Huân,hwɤn1,平聲,hūn,臻,平,文,曉,合,三,次清,許,云,,,,,,,,,,,
葸,Tỉ,ti3,問聲,xǐ,止,上,止,心,開,三,全清,胥,里,,,,,,,,,,,
葹,Thi,t'i1,平聲,shī,止,平,支,書,開,三,全清,式,支,,,,,,,,,,,
葺,Tập,tɤp8,重入,qì,深,入,緝,從,開,三,全濁,秦,入,,,,,,,,,,,
蒂,Đế,de5,銳聲,dì,蟹,去,霽,端,開,四,全清,都,計,,,,,,,,,,,
蒐,Sưu,ʂɯw1,平聲,sōu,流,平,尤,生,開,三,全清,所,鳩,,,,,,,,,,,
蓇,Cốt,kot7,銳入,gǔ,臻,入,沒,見,合,一,全清,古,忽,,,,,,,,,,,
蓱,Bình,biɲ2,弦聲,píng,梗,平,青,並,開,四,全濁,薄,經,,,,,,,,,,,
虛,Hư,hu1,平聲,xū,遇,平,魚,曉,開,三,次清,朽,居,,,,,,,,,,,
蛑,Mâu,mɤw1,平聲,móu,流,平,尤,明,開,三,次濁,莫,浮,,,,,,,,,,,
蛔,Hồi,hoj2,弦聲,huí,蟹,平,灰,匣,合,一,全濁,戶,恢,,,,,,,,,,,
蛕,Hồi,hoj2,弦聲,huí,蟹,平,灰,匣,合,一,全濁,戶,恢,,,,,,,,,,,
蛘,Dạng,za:ŋ6,重聲,yáng,宕,平,陽,以,開,三,次濁,與,章,,,,,,,,,,,
蛙,Oa,wa:1,平聲,wā,假,平,麻,影,合,二,全清,烏,瓜,,,,,,,,,,,
蛛,Chu,tʂu1,平聲,zhū,遇,平,虞,知,合,三,全清,陟,輸,,,,,,,,,,,
蛞,Khoát,xwa:t7,銳入,kuò,山,入,末,溪,合,一,次清,苦,栝,,,,,,,,,,,
蛟,Giao,ʑa:w1,平聲,jiāo,效,平,肴,見,開,二,全清,古,肴,,,,,,,,,,,
蛤,Cáp,ka:p7,銳入,gé,咸,入,合,見,開,一,全清,古,沓,,,,,,,,,,,
蛩,Cung,kuŋ1,平聲,qióng,通,平,鍾,羣,合,三,全濁,渠,容,,,,,,,,,,,
蛭,Điệt,diet8,重入,zhì,山,入,屑,端,開,四,全清,丁,結,,,,,,,,,,,
蜑,Đản,da:n3,問聲,dàn,山,上,旱,定,開,一,全濁,徒,旱,,,,,,,,,,,
蜒,Diên,zien1,平聲,yán,山,平,仙,以,開,三,次濁,以,然,,,,,,,,,,,
蜓,Đình,diɲ2,弦聲,tíng,梗,平,青,定,開,四,全濁,特,丁,,,,,,,,,,,
衆,Chúng,tʂuŋ5,銳聲,zhòng,通,去,送,章,合,三,全清,之,仲,,,,,,,,,,,
衇,Mạch,ma:ʧ8,重入,mò,梗,入,麥,明,開,二,次濁,莫,獲,,,,,,,,,,,
衕,Đồng,doŋ2,弦聲,tóng,通,平,東,定,合,一,全濁,徒,紅,,,,,,,,,,,
衖,Hạng,ha:ŋ6,重聲,lòng,江,去,絳,匣,開,二,全濁,胡,絳,,,,,,,,,,,
街,Nhai,ɲa:j1,平聲,jiē,蟹,平,佳,見,開,二,全清,古,佳,,,,,,,,,,,
