汉字,漢越語,IPA,聲調,拼音,攝別,四聲,韻目,字母,開合,等第,清濁,上字,下字,,,,,,,,,,,
月,Nguyệt,ŋwiet8,重入,yuè,山,入,月,疑,合,三,次濁,魚,厥,,,,,,,,,,,
木,Mộc,mok8,重入,mù,通,入,屋,明,合,一,次濁,莫,卜,,,,,,,,,,,
欠,Khiếm,xiem5,銳聲,qiàn,咸,去,梵,溪,合,三,次清,去,劔,,,,,,,,,,,
止,Chỉ,tʂi3,問聲,zhǐ,止,上,止,章,開,三,全清,諸,市,,,,,,,,,,,
歹,Ngạt,ŋa:t8,重入,è,山,入,曷,疑,開,一,次濁,五,割,,,,,,,,,,,
殳,Thù,t'u2,弦聲,shū,遇,平,虞,禪,合,三,全濁,市,朱,,,,,,,,,,,
毋,Vô,vo1,平聲,wú,遇,平,虞,微,合,三,次濁,武,夫,,,,,,,,,,,
比,Tỉ,ti3,問聲,bǐ,止,上,旨,幫,開,三,全清,卑,履,,,,,,,,,,,
毛,Mao,ma:w1,平聲,máo,效,平,豪,明,開,一,次濁,莫,袍,,,,,,,,,,,
氏,Thị,t'i6,重聲,shì,止,上,紙,禪,開,三,全濁,承,紙,,,,,,,,,,,
水,Thủy,t'wi3,問聲,shuǐ,止,上,旨,書,合,三,全清,式,軌,,,,,,,,,,,
火,Hỏa,hwa:3,問聲,huǒ,果,上,果,曉,合,一,次清,呼,果,,,,,,,,,,,
爪,Trảo,tʂa:w3,問聲,zhuǎ,效,上,巧,莊,開,二,全清,側,絞,,,,,,,,,,,
父,Phủ,fu3,問聲,fǔ,遇,上,麌,非,合,三,全清,方,矩,,,,,,,,,,,
父,Phụ,fu6,重聲,fù,遇,上,麌,奉,合,三,全濁,扶,雨,,,,,,,,,,,
爻,Hào,ha:w2,弦聲,yáo,效,平,肴,匣,開,二,全濁,胡,茅,,,,,,,,,,,
片,Phiến,fien5,銳聲,piàn,山,去,霰,滂,開,四,次清,普,麵,,,,,,,,,,,
牙,Nha,ɲa:1,平聲,yá,假,平,麻,疑,開,二,次濁,五,加,,,,,,,,,,,
牛,Ngưu,ŋɯw1,平聲,niú,流,平,尤,疑,開,三,次濁,語,求,,,,,,,,,,,
